Day,Date,Time,Place
Thursday, 01 August 2019,09.28,Kebon Pala
Thursday, 01 August 2019,11.08,Cempaka Putih
Thursday, 01 August 2019,17.49,Pisangan
Friday, 02 August 2019,00.06,Kebon Pala
Friday, 02 August 2019,21.07,Kramat Jati
Friday, 02 August 2019,23.02,Kebon Pala
Saturday, 03 August 2019,18.49,Cililitan
Saturday, 03 August 2019,21.07,Kebon Pala
Sunday, 04 August 2019,07.17,Senayan
Sunday, 04 August 2019,11.12,Palmerah
Sunday, 04 August 2019,17.05,Kebon Pala
Monday, 05 August 2019,07.45,Cempaka Putih
Monday, 05 August 2019,14.24, Pondok Cabe
Monday, 05 August 2019,17.07,Cempaka Putih
Monday, 05 August 2019,21.20,Kebon Pala
Tuesday, 06 August 2019,10.18,Cipinang Besar Selatan
Tuesday, 06 August 2019,13.40,Kebon Pala
Tuesday, 06 August 2019,17.48,Ciracas
Tuesday, 06 August 2019,22.06,Pondok Petir
Tuesday, 06 August 2019,00.59,Cisarua
Wednesday, 07 August 2019,07.22,Pacet
Wednesday, 07 August 2019,09.13,Cipanas
Thursday, 08 August 2019,08.20,Pacet
Thursday, 08 August 2019,11.09,Cipanas
Friday, 09 August 2019,15.46,Cempaka Putih
Friday, 09 August 2019,20.03,Pisangan
Friday, 09 August 201920,41,Kebon Pala
Saturday, 10 August 2019,07.01,Kramat Jati
Saturday, 10 August 2019,11.53,Bencongan Indah
Saturday, 10 August 2019,22.21,Kebon Pala
Sunday, 11 August 2019,09.26,Bojong Nangka
Sunday, 11 August 2019,12.34,Bencongan Indah
Sunday, 11 August 2019,18.40,Pisangan Timur
Monday, 12 August 2019,00.40,Kebon Pala
Monday, 12 August 2019,08.56,Cempaka Putih
Monday, 12 August 2019,19.20,Bintaro
Monday, 12 August 2019,22.22,Cempaka Putih
Monday, 12 August 2019,23.04,Kebon Pala
Tuesday, 13 August 2019,16.22,Kramat Jati
Tuesday, 13 August 2019,17.24,Kebon Pala
Wednesday, 14 August 2019,08.56,Cempaka Putih
Wednesday, 14 August 2019,17.03,Cireundeu
Wednesday, 14 August 2019,21.30,Kebon Pala
Thursday, 15 August 2019,06.44,Kramat Jati
Thursday, 15 August 2019,08.31,Cempaka Putih
Thursday, 15 August 2019,19.06,Pondok Petir
Friday, 16 August 2019,10.09,Kebon Pala
Friday, 16 August 2019,17.07,Kramat Jati
Friday, 16 August 2019,17.53,Kebon Pala
Saturday, 17 August 2019,09.22,Cipete Selatan
Saturday, 17 August 2019,11.12,Kebon Pala
Sunday, 18 August 2019,13.44,Ciomas
Sunday, 18 August 2019,17.50,Kebon Pala
Monday, 19 August 2019,07.17,Cempaka Putih
Monday, 19 August 2019,20.01,Kebon Pala
Tuesday, 20 August 2019,07.40,Cempaka Putih
Tuesday, 20 August 2019,18.44,Cireundeu
Tuesday, 20 August 2019,21.39,Kebon Pala
