,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,0.776,0.78,0.128,0.0622,0.0,0.081,0.666,124.949
1,0.671,0.673,0.0444,0.148,5.29e-05,0.304,0.494,121.963
2,0.527,0.835,0.0433,0.0166,0.0,0.249,0.654,125.983
3,0.825,0.652,0.0802,0.581,0.0,0.0931,0.931,95.977
4,0.734,0.637,0.141,0.0462,2.29e-05,0.0602,0.648,169.977
5,0.605,0.822,0.0438,0.00671,0.134,0.147,0.288,167.997
6,0.748,0.524,0.0338,0.414,0.0,0.111,0.661,95.01
7,0.556,0.864,0.0584,0.00958,0.0,0.209,0.4,105.143
8,0.617,0.635,0.0317,0.0498,1.44e-05,0.164,0.446,103.019
9,0.505,0.71,0.0321,0.19,0.00025,0.269,0.428,89.938
10,0.76,0.479,0.0466,0.556,0.0,0.0703,0.913,89.911
11,0.645,0.713,0.0393,0.00835,0.0,0.113,0.566,74.989
12,0.775,0.613,0.0542,0.109,2.33e-05,0.134,0.797,100.066
13,0.833,0.572,0.128,0.173,6.07e-05,0.0416,0.523,126.05
14,0.516,0.786,0.0412,0.000279,0.00369,0.305,0.164,174.035
15,0.739,0.796,0.0332,0.166,0.0,0.0752,0.422,102.036
16,0.749,0.363,0.134,0.696,0.000311,0.0965,0.473,74.959
17,0.705,0.83,0.0403,0.225,0.146,0.12,0.46,128.061
18,0.621,0.701,0.0324,0.215,6.19e-06,0.217,0.364,123.91
19,0.778,0.654,0.253,0.327,0.0435,0.342,0.503,169.964
20,0.504,0.815,0.0361,0.0011,0.00134,0.324,0.253,174.026
21,0.504,0.911,0.0396,0.0375,0.0,0.323,0.606,174.074
22,0.66,0.831,0.0533,0.000804,1.27e-06,0.316,0.18,128.005
23,0.623,0.594,0.0418,0.55,0.0,0.179,0.363,100.038
24,0.705,0.903,0.0282,0.0247,0.00168,0.217,0.472,108.911
25,0.568,0.827,0.0426,0.113,4.33e-05,0.0898,0.266,144.919
26,0.436,0.934,0.0507,1.05e-05,0.136,0.321,0.383,91.488
27,0.641,0.922,0.0786,0.0291,0.0,0.0862,0.847,146.078
28,0.664,0.705,0.0382,0.0654,0.0,0.118,0.477,122.016
29,0.845,0.567,0.0956,0.59,0.00142,0.0811,0.793,125.02
30,0.501,0.519,0.0409,0.109,0.0,0.454,0.168,133.99
31,0.584,0.54,0.0576,0.0895,0.0,0.261,0.195,137.972
32,0.748,0.661,0.0334,0.157,0.00102,0.101,0.743,90.003
0,0.496,0.863,0.0381,0.0046,0.0,0.639,0.243,110.018
1,0.908,0.621,0.102,0.000282,5.39e-05,0.0958,0.421,150.011
2,0.732,0.396,0.0286,0.0841,3.58e-05,0.105,0.548,90.024
3,0.728,0.563,0.134,0.621,0.0,0.179,0.352,100.017
4,0.865,0.521,0.0371,0.548,0.000115,0.0989,0.748,129.059
5,0.442,0.943,0.0602,0.00293,8.71e-06,0.091,0.781,85.064
6,0.69,0.626,0.306,0.105,0.000335,0.0881,0.912,184.009
7,0.448,0.784,0.0627,0.106,0.000108,0.668,0.236,136.245
8,0.623,0.93,0.0324,0.0141,1.64e-06,0.138,0.287,120.119
9,0.532,0.869,0.172,0.157,0.00508,0.136,0.422,159.803
10,0.422,0.302,0.0372,0.629,7.83e-05,0.104,0.123,114.089
11,0.626,0.88,0.0504,0.205,0.0,0.128,0.534,95.079
12,0.664,0.714,0.111,0.0353,8.42e-06,0.0843,0.71,101.969
13,0.378,0.638,0.075,0.02,7.66e-05,0.0849,0.735,184.086
14,0.861,0.603,0.176,0.0521,0.0,0.0924,0.504,98.043
15,0.64,0.533,0.0706,0.119,0.0,0.0864,0.515,99.968
16,0.496,0.682,0.0294,0.00552,2.94e-05,0.0589,0.474,167.06
17,0.765,0.327,0.277,0.571,0.0479,0.0787,0.292,74.931
18,0.502,0.786,0.317,0.255,0.0,0.65,0.739,169.021
19,0.659,0.615,0.0644,0.27,0.0,0.187,0.193,119.843
20,0.609,0.674,0.0548,0.0735,0.06,0.345,0.315,90.009
21,0.506,0.805,0.0469,0.00711,0.00193,0.0856,0.383,126.008
22,0.585,0.972,0.0534,0.0143,0.0,0.0707,0.585,110.006
23,0.528,0.511,0.0324,0.126,0.0,0.101,0.351,100.1
24,0.663,0.871,0.03,0.00299,1.8e-06,0.337,0.826,130.025
25,0.728,0.616,0.0645,0.378,0.0,0.105,0.508,99.962
26,0.62,0.864,0.114,0.0323,0.0,0.117,0.395,98.059
27,0.713,0.802,0.0561,0.0435,0.00377,0.309,0.343,100.001
28,0.725,0.853,0.0516,0.305,0.0,0.115,0.707,134.991
29,0.615,0.911,0.0278,0.0686,0.00188,0.0908,0.685,108.0
30,0.632,0.575,0.029,0.0225,1.81e-06,0.104,0.188,90.037
31,0.716,0.972,0.196,0.0145,3.22e-05,0.317,0.576,110.026
32,0.637,0.732,0.0965,0.244,0.0,0.498,0.68,128.108
33,0.605,0.783,0.0324,0.299,0.000175,0.133,0.105,124.015
34,0.662,0.586,0.0307,0.097,0.00272,0.115,0.296,90.0
35,0.711,0.906,0.0284,0.00952,1.64e-05,0.153,0.824,125.916
36,0.541,0.968,0.0396,0.000248,8.28e-06,0.423,0.505,125.04
37,0.62,0.61,0.0373,0.00849,0.162,0.205,0.235,127.052
38,0.731,0.796,0.0344,0.19,0.0606,0.354,0.933,102.006
39,0.727,0.69,0.0345,0.202,3.27e-06,0.414,0.699,100.002
40,0.546,0.98,0.0619,0.0154,0.0,0.31,0.478,120.037
41,0.768,0.933,0.0385,0.206,0.915,0.0833,0.245,124.996
42,0.532,0.967,0.0457,0.146,0.985,0.115,0.59,136.083
43,0.591,0.705,0.079,0.381,0.000116,0.131,0.27,121.799
44,0.586,0.861,0.0617,0.00987,7.17e-05,0.128,0.478,142.16
45,0.537,0.906,0.0651,0.133,0.0187,0.319,0.504,173.898
46,0.777,0.587,0.0459,0.386,0.0,0.485,0.815,138.01
47,0.657,0.703,0.0753,0.222,0.0,0.256,0.338,122.381
48,0.531,0.568,0.0571,0.253,7.7e-05,0.26,0.438,164.127
49,0.488,0.914,0.223,0.00415,0.0,0.158,0.222,172.187
50,0.725,0.834,0.037,0.0784,1.27e-05,0.0834,0.859,120.026
51,0.324,0.944,0.0593,0.0658,0.0,0.0828,0.288,162.756
52,0.377,0.858,0.148,0.134,0.00185,0.0985,0.117,174.751
53,0.578,0.87,0.0602,0.0838,0.00107,0.138,0.416,97.465
54,0.413,0.879,0.0747,0.000132,0.0,0.384,0.59,167.94
55,0.712,0.798,0.0392,0.00604,5.32e-06,0.111,0.488,125.942
56,0.82,0.948,0.092,0.00374,0.943,0.068,0.551,123.991
57,0.807,0.836,0.0359,0.0434,0.396,0.113,0.962,120.057
58,0.72,0.781,0.0569,0.0171,1.78e-06,0.215,0.349,126.004
59,0.839,0.613,0.0463,0.0383,0.0,0.323,0.667,125.011
60,0.557,0.876,0.0368,0.00928,0.00416,0.298,0.368,140.012
61,0.59,0.894,0.0531,0.0584,0.000775,0.103,0.235,159.968
62,0.493,0.773,0.157,0.429,7.07e-06,0.0807,0.301,123.149
63,0.719,0.604,0.0286,0.268,3.31e-05,0.222,0.618,120.001
64,0.623,0.85,0.0334,0.00832,0.0237,0.289,0.707,134.978
65,0.679,0.831,0.194,0.247,8.25e-06,0.217,0.787,155.041
66,0.674,0.622,0.0746,0.577,4.62e-05,0.105,0.284,126.07
67,0.701,0.888,0.0518,0.227,0.000765,0.0695,0.58,150.09
68,0.667,0.86,0.0531,0.235,0.0,0.135,0.463,150.111
69,0.619,0.714,0.118,0.0284,0.0,0.273,0.432,109.949
70,0.795,0.642,0.0342,0.509,1.78e-05,0.327,0.62,101.011
71,0.653,0.689,0.0881,0.0255,0.0387,0.0937,0.253,150.954
72,0.761,0.644,0.0409,0.0532,0.00146,0.0838,0.444,111.993
73,0.543,0.759,0.21,0.21,0.0,0.0908,0.347,141.882
74,0.244,0.721,0.0354,0.0272,0.0,0.145,0.114,98.825
75,0.576,0.733,0.0288,0.00135,0.000215,0.107,0.551,150.12
76,0.439,0.829,0.0679,0.174,0.0,0.391,0.375,149.932
77,0.762,0.665,0.0471,0.169,0.0,0.103,0.961,115.946
78,0.805,0.99,0.0576,0.000737,0.911,0.0919,0.324,110.002
79,0.626,0.729,0.102,0.0135,0.0,0.133,0.441,159.762
80,0.718,0.677,0.0361,0.0371,5.81e-05,0.112,0.236,122.003
81,0.828,0.592,0.0447,0.142,0.00809,0.0812,0.547,116.025
82,0.78,0.803,0.0503,0.0867,0.0,0.14,0.382,127.992
83,0.633,0.798,0.201,0.0131,0.0,0.078,0.465,145.018
84,0.64,0.525,0.0557,0.0313,0.0,0.335,0.376,88.067
85,0.628,0.688,0.0424,0.226,0.0,0.113,0.299,127.895
86,0.685,0.855,0.0395,0.0566,0.000231,0.171,0.237,128.045
87,0.792,0.885,0.0928,0.0336,0.879,0.145,0.379,128.013
88,0.609,0.945,0.0741,0.0486,1.6e-06,0.387,0.53,126.04
89,0.655,0.663,0.0479,0.219,0.00351,0.173,0.359,139.958
90,0.586,0.97,0.0622,0.0457,0.0321,0.0624,0.834,169.981
91,0.752,0.924,0.0878,0.0142,0.849,0.223,0.503,150.057
92,0.709,0.672,0.205,0.405,1.55e-06,0.125,0.746,159.924
93,0.533,0.744,0.0575,0.46,0.00346,0.542,0.261,175.017
94,0.645,0.813,0.0653,0.139,1.29e-06,0.211,0.477,145.035
95,0.643,0.968,0.0612,0.0174,0.0305,0.144,0.181,147.938
96,0.647,0.745,0.193,0.197,0.0242,0.248,0.23,185.972
97,0.688,0.777,0.0405,0.00478,0.00397,0.295,0.473,122.005
98,0.654,0.826,0.0293,0.00578,3.5e-06,0.104,0.676,145.006
99,0.482,0.766,0.0374,0.234,2.86e-06,0.072,0.37,149.665
